epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,2.877557456609566,0.10916179337231968,0.10716377570139074,2.5720179080963135,0.22267206477732793,0.21648710665498325
2,2.4003840754603782,0.28898635477582846,0.28311505750359683,2.4126107692718506,0.2388663967611336,0.22769047897713618
3,2.208904521042376,0.33771929824561403,0.3271047741363409,2.354727029800415,0.27530364372469635,0.2589982252025573
4,2.107184638753969,0.3601364522417154,0.34880142593233504,2.3366599082946777,0.2874493927125506,0.28081101524896307
5,2.048302879575168,0.3776803118908382,0.3697365145645691,2.3225185871124268,0.3076923076923077,0.29957446790149556
6,2.0035241245061566,0.38742690058479534,0.38196693743838156,2.297739028930664,0.29554655870445345,0.28638082821760347
7,1.9622811230070176,0.3961988304093567,0.39149015372950907,2.2876784801483154,0.30364372469635625,0.2942417282535741
8,1.9380190974322908,0.4074074074074074,0.40285378946028433,2.287050247192383,0.3157894736842105,0.3041111758755508
9,1.9261937885024163,0.41130604288499023,0.4054673009841078,2.2969768047332764,0.3319838056680162,0.31472264910997366
10,1.9039734148839762,0.41569200779727095,0.40906067174326255,2.3110992908477783,0.3319838056680162,0.313325497894417
11,1.8812701632404885,0.42007797270955166,0.4151778109649806,2.3016581535339355,0.3117408906882591,0.29518118116189385
12,1.8609178094138876,0.4249512670565302,0.4205131856744822,2.299694538116455,0.32793522267206476,0.31401402881380003
13,1.8433139001184504,0.43226120857699807,0.42742269095476443,2.3017020225524902,0.3319838056680162,0.32082112308722166
14,1.8319669859683536,0.4342105263157895,0.4298008759966353,2.3029770851135254,0.3441295546558704,0.3382875074640099
15,1.8204820132859734,0.4395711500974659,0.43520947402675314,2.3160109519958496,0.32793522267206476,0.3280244195000229
16,1.8126279561840304,0.4351851851851852,0.4304337998918692,2.3004536628723145,0.3319838056680162,0.3314211174026113
17,1.7972696005252369,0.442495126705653,0.43768658561579904,2.2951414585113525,0.3522267206477733,0.34887676774493553
18,1.7845231255127905,0.44298245614035087,0.43727777382416994,2.299753189086914,0.3441295546558704,0.34099798878331056
19,1.770391581351297,0.4551656920077973,0.44966829082164234,2.3065640926361084,0.3319838056680162,0.32269268000389506
20,1.760913889775267,0.4546783625730994,0.44957074405655706,2.3217813968658447,0.31983805668016196,0.31288183180209306
21,1.753997262458355,0.45419103313840153,0.45004549836009017,2.3276188373565674,0.3157894736842105,0.30544178715890774
22,1.7440906582984776,0.4644249512670565,0.461283471191027,2.333348274230957,0.3117408906882591,0.29906184359125976
23,1.737546752070823,0.4644249512670565,0.46133517546333674,2.3308186531066895,0.3319838056680162,0.3217988909169804
24,1.7359795068439685,0.46101364522417154,0.4578414425738996,2.3306965827941895,0.3076923076923077,0.31142478591385714
25,1.7341881210808634,0.45321637426900585,0.44820188571571506,2.3720757961273193,0.3117408906882591,0.31470061849825914
